1,1,11
2,3,6
3,5,12
4,7,7
5,9,14
6,11,16
7,13,1
8,15,10
9,17,8
10,19,2
11,21,17
12,23,7
13,25,5
14,27,4
15,29,10
16,31,2
17,33,15
18,35,16
19,37,1
20,39,17
21,41,3
22,43,1
23,45,7
24,47,10
25,49,18
26,51,3
27,53,20
28,55,13
29,57,2
30,59,14
31,61,1
32,63,1
33,65,15
34,67,6
35,69,16
36,71,12
37,73,13
38,75,5
39,77,7
40,79,15
41,81,3
42,83,7
43,85,17
44,87,19
45,89,13
46,91,15
47,93,16
48,95,3
49,97,6
50,99,6
51,101,16
52,103,9
53,105,3
54,107,5
55,109,3
56,111,2
57,113,6
58,115,3
59,117,2
60,119,2
61,121,11
62,123,14
63,125,6
64,127,18
65,129,18
66,131,16
67,133,15
68,135,7
69,137,8
70,139,13
71,141,10
72,143,3
73,145,18
74,147,3
75,149,15
76,151,17
77,153,18
78,155,13
79,157,12
80,159,11
81,161,18
82,163,17
83,165,2
84,167,17
85,169,14
86,171,14
87,173,13
88,175,9
89,177,8
90,179,20
91,181,13
92,183,20
93,185,12
94,187,17
95,189,11
96,191,8
97,193,2
98,195,13
99,197,10
100,199,20
101,201,4
102,203,18
103,205,9
104,207,7
105,209,6
106,211,20
107,213,11
108,215,4
109,217,8
110,219,10
111,221,7
112,223,13
113,225,17
114,227,10
115,229,6
116,231,12
117,233,5
118,235,19
119,237,14
120,239,18
121,241,6
122,243,5
123,245,16
124,247,7
125,249,19
126,251,18
127,253,1
128,255,13
129,257,4
130,259,1
131,261,18
132,263,19
133,265,3
134,267,8
135,269,18
136,271,19
137,273,12
138,275,2
139,277,3
140,279,12
141,281,6
142,283,13
143,285,9
144,287,1
145,289,6
146,291,2
147,293,9
148,295,14
149,297,5
150,299,5
151,301,10
152,303,4
153,305,13
154,307,11
155,309,3
156,311,8
157,313,13
158,315,10
159,317,15
160,319,11
161,321,9
162,323,3
163,325,12
164,327,7
165,329,11
166,331,14
167,333,8
168,335,16
169,337,19
170,339,19
171,341,19
172,343,20
173,345,18
174,347,8
175,349,12
176,351,7
177,353,11
178,355,6
179,357,11
180,359,5
181,361,10
182,363,13
183,365,1
184,367,6
185,369,18
186,371,7
187,373,1
188,375,12
189,377,2
190,379,20
191,381,3
192,383,20
193,385,20
194,387,14
195,389,2
196,391,16
197,393,17
198,395,17
199,397,10
200,399,4
201,401,20
202,403,17
203,405,10
204,407,8
205,409,13
206,411,10
207,413,16
208,415,12
209,417,6
210,419,17
211,421,10
212,423,17
213,425,18
214,427,8
215,429,8
216,431,1
217,433,15
218,435,16
219,437,3
220,439,12
221,441,8
222,443,20
223,445,1
224,447,20
225,449,11
226,451,7
227,453,18
228,455,15
229,457,6
230,459,8
231,461,12
232,463,14
233,465,10
234,467,16
235,469,5
236,471,8
237,473,19
238,475,19
239,477,1
240,479,19
241,481,2
242,483,7
243,485,4
244,487,19
245,489,6
246,491,9
247,493,2
248,495,11
249,497,2
250,499,14
251,501,18
252,503,8
253,505,14
254,507,1
255,509,13
256,511,18
257,513,11
258,515,14
259,517,5
260,519,16
261,521,5
262,523,4
263,525,15
264,527,2
265,529,7
266,531,1
267,533,15
268,535,18
269,537,8
270,539,19
271,541,2
272,543,20
273,545,1
274,547,6
275,549,16
276,551,10
277,553,17
278,555,7
279,557,19
280,559,13
281,561,4
282,563,17
283,565,4
284,567,3
285,569,2
286,571,18
287,573,8
288,575,12
289,577,11
290,579,9
291,581,3
292,583,18
293,585,15
294,587,17
295,589,15
296,591,17
297,593,16
298,595,20
299,597,18
300,599,9
301,601,17
302,603,14
303,605,5
304,607,3
305,609,15
306,611,3
307,613,19
308,615,19
309,617,6
310,619,3
311,621,10
312,623,6
313,625,10
314,627,1
315,629,4
316,631,18
317,633,3
318,635,5
319,637,11
320,639,5
321,641,17
322,643,12
323,645,6
324,647,11
325,649,17
326,651,10
327,653,7
328,655,14
329,657,4
330,659,8
331,661,7
332,663,4
333,665,18
334,667,9
335,669,10
336,671,18
337,673,3
338,675,19
339,677,16
340,679,1
341,681,7
342,683,15
343,685,13
344,687,14
345,689,13
346,691,2
347,693,16
348,695,19
349,697,5
350,699,17
351,701,15
352,703,15
353,705,6
354,707,6
355,709,13
356,711,18
357,713,17
358,715,12
359,717,1
360,719,10
361,721,16
362,723,19
363,725,20
364,727,5
365,729,9
366,731,13
367,733,10
